"filename", "language", "Log", "pip requirements", "Python", "Markdown", "YAML", "comment", "blank", "total"
"f:\zw\Zulu-Walker\logs\modules\SerialController.log", "Log", 67, 0, 0, 0, 0, 0, 1, 68
"f:\zw\Zulu-Walker\main.py", "Python", 0, 0, 81, 0, 0, 7, 12, 100
"f:\zw\Zulu-Walker\modules\uart_test.py", "Python", 0, 0, 163, 0, 0, 44, 40, 247
"f:\zw\Zulu-Walker\modules\zw_opencv_module\TESTING_GUIDE.md", "Markdown", 0, 0, 0, 134, 0, 0, 39, 173
"f:\zw\Zulu-Walker\modules\zw_opencv_module\__init__.py", "Python", 0, 0, 57, 0, 0, 22, 34, 113
"f:\zw\Zulu-Walker\modules\zw_opencv_module\_archived_tests\qr_streaming_demo.py", "Python", 0, 0, 434, 0, 0, 115, 111, 660
"f:\zw\Zulu-Walker\modules\zw_opencv_module\_archived_tests\simple_stream_test.py", "Python", 0, 0, 153, 0, 0, 22, 30, 205
"f:\zw\Zulu-Walker\modules\zw_opencv_module\_archived_tests\test_hardware_encoder.py", "Python", 0, 0, 184, 0, 0, 20, 30, 234
"f:\zw\Zulu-Walker\modules\zw_opencv_module\_archived_tests\test_qr_streaming.py", "Python", 0, 0, 134, 0, 0, 34, 45, 213
"f:\zw\Zulu-Walker\modules\zw_opencv_module\_archived_tests\test_visual.py", "Python", 0, 0, 594, 0, 0, 128, 148, 870
"f:\zw\Zulu-Walker\modules\zw_opencv_module\camera_manager.py", "Python", 0, 0, 351, 0, 0, 66, 102, 519
"f:\zw\Zulu-Walker\modules\zw_opencv_module\camera_stream.py", "Python", 0, 0, 58, 0, 0, 11, 12, 81
"f:\zw\Zulu-Walker\modules\zw_opencv_module\camera_tasks.py", "Python", 0, 0, 187, 0, 0, 28, 33, 248
"f:\zw\Zulu-Walker\modules\zw_opencv_module\cargo_detector.py", "Python", 0, 0, 102, 0, 0, 54, 30, 186
"f:\zw\Zulu-Walker\modules\zw_opencv_module\cargos.py", "Python", 0, 0, 70, 0, 0, 7, 13, 90
"f:\zw\Zulu-Walker\modules\zw_opencv_module\check_hardware.py", "Python", 0, 0, 135, 0, 0, 24, 38, 197
"f:\zw\Zulu-Walker\modules\zw_opencv_module\config\camera_config.yaml", "YAML", 0, 0, 0, 0, 25, 1, 3, 29
"f:\zw\Zulu-Walker\modules\zw_opencv_module\ffmpeg_pusher.py", "Python", 0, 0, 224, 0, 0, 35, 43, 302
"f:\zw\Zulu-Walker\modules\zw_opencv_module\frame_composer.py", "Python", 0, 0, 139, 0, 0, 31, 32, 202
"f:\zw\Zulu-Walker\modules\zw_opencv_module\processors\__init__.py", "Python", 0, 0, 3, 0, 0, 1, 2, 6
"f:\zw\Zulu-Walker\modules\zw_opencv_module\processors\base.py", "Python", 0, 0, 27, 0, 0, 23, 10, 60
"f:\zw\Zulu-Walker\modules\zw_opencv_module\processors\cargo_processor.py", "Python", 0, 0, 136, 0, 0, 70, 41, 247
"f:\zw\Zulu-Walker\modules\zw_opencv_module\processors\qr_processor.py", "Python", 0, 0, 125, 0, 0, 25, 21, 171
"f:\zw\Zulu-Walker\modules\zw_opencv_module\requirements.txt", "pip requirements", 0, 7, 0, 0, 0, 6, 3, 16
"f:\zw\Zulu-Walker\modules\zw_opencv_module\task_manager.py", "Python", 0, 0, 79, 0, 0, 39, 29, 147
"f:\zw\Zulu-Walker\modules\zw_opencv_module\task_sequence.py", "Python", 0, 0, 47, 0, 0, 1, 9, 57
"f:\zw\Zulu-Walker\modules\zw_uart_module\README.md", "Markdown", 0, 0, 0, 109, 0, 0, 37, 146
"f:\zw\Zulu-Walker\modules\zw_uart_module\README_CN.md", "Markdown", 0, 0, 0, 124, 0, 0, 45, 169
"f:\zw\Zulu-Walker\modules\zw_uart_module\__init__.py", "Python", 0, 0, 68, 0, 0, 42, 38, 148
"f:\zw\Zulu-Walker\modules\zw_uart_module\exceptions.py", "Python", 0, 0, 8, 0, 0, 10, 9, 27
"f:\zw\Zulu-Walker\modules\zw_uart_module\protocol.py", "Python", 0, 0, 61, 0, 0, 84, 34, 179
"f:\zw\Zulu-Walker\modules\zw_uart_module\uart_driver.py", "Python", 0, 0, 219, 0, 0, 139, 66, 424
"f:\zw\Zulu-Walker\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 16, 1, 18
"f:\zw\Zulu-Walker\utils\__init__.py", "Python", 0, 0, 12, 0, 0, 0, 0, 12
"f:\zw\Zulu-Walker\utils\log_util.py", "Python", 0, 0, 130, 0, 0, 38, 38, 206
"f:\zw\Zulu-Walker\utils\serial_controller.py", "Python", 0, 0, 129, 0, 0, 52, 24, 205
"f:\zw\Zulu-Walker\utils\state.py", "Python", 0, 0, 204, 0, 0, 73, 53, 330
"Total", "-", 67, 8, 4314, 367, 25, 1268, 1256, 7305
